Phone,Price,Mobile Link,Rating,Reviews
"REDMI 13C (Starshine Green, 128 GB)","₹7,699",https://www.flipkart.com/redmi-13c-starshine-green-128-gb/p/itmc4f0763fb3a50?pid=MOBGW4HKUXHFDYU2&lid=LSTMOBGW4HKUXHFDYU2WMFCCU&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_15&otracker=browse&fm=organic&iid=bb5ce5b9-c6f2-4059-b41b-06aed74aecce.MOBGW4HKUXHFDYU2.SEARCH&ppt=None&ppn=None&ssid=cueo9l8s5s0000001713284307968,4.3,No reviews available
"Motorola G34 5G (Ocean Green, 128 GB)","₹11,999",https://www.flipkart.com/motorola-g34-5g-ocean-green-128-gb/p/itm6b1a33b9d9191?pid=MOBGUFK4TZ2CJYHJ&lid=LSTMOBGUFK4TZ2CJYHJPBUF6M&marketplace=FLIPKART&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&srno=b_1_3&otracker=browse&fm=organic&iid=bb5ce5b9-c6f2-4059-b41b-06aed74aecce.MOBGUFK4TZ2CJYHJ.SEARCH&ppt=None&ppn=None&ssid=cueo9l8s5s0000001713284307968,4.2,No reviews available
"Motorola G34 5G (Ice Blue, 128 GB)","₹11,999",https://www.flipkart.com/motorola-g34-5g-ice-blue-128-gb/p/itmc36bacc1f7bb0?pid=MOBGUFK4P2H9CY7Y&lid=LSTMOBGUFK4P2H9CY7Y4FYWMH&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_4&otracker=browse&fm=organic&iid=bb5ce5b9-c6f2-4059-b41b-06aed74aecce.MOBGUFK4P2H9CY7Y.SEARCH&ppt=None&ppn=None&ssid=cueo9l8s5s0000001713284307968,4.2,No reviews available
"Motorola G34 5G (Charcoal Black, 128 GB)","₹11,999",https://www.flipkart.com/motorola-g34-5g-charcoal-black-128-gb/p/itmcf3922f5c94b2?pid=MOBGUFK4QPQMAA2S&lid=LSTMOBGUFK4QPQMAA2SCAYBBS&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_5&otracker=browse&fm=organic&iid=bb5ce5b9-c6f2-4059-b41b-06aed74aecce.MOBGUFK4QPQMAA2S.SEARCH&ppt=None&ppn=None&ssid=cueo9l8s5s0000001713284307968,4.2,No reviews available
"MOTOROLA g24 Power (Ink blue, 128 GB)","₹7,999",https://www.flipkart.com/motorola-g24-power-ink-blue-128-gb/p/itmecab4a01b8aaf?pid=MOBGUFK4UBP7ZTXJ&lid=LSTMOBGUFK4UBP7ZTXJ6TV61J&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_6&otracker=browse&fm=organic&iid=bb5ce5b9-c6f2-4059-b41b-06aed74aecce.MOBGUFK4UBP7ZTXJ.SEARCH&ppt=None&ppn=None&ssid=cueo9l8s5s0000001713284307968,4.2,No reviews available
"MOTOROLA g24 Power (Ink blue, 128 GB)","₹8,999",https://www.flipkart.com/motorola-g24-power-ink-blue-128-gb/p/itm38450b60d2af2?pid=MOBGUFK4RNVPCG3M&lid=LSTMOBGUFK4RNVPCG3MCW1WFP&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_7&otracker=browse&fm=organic&iid=bb5ce5b9-c6f2-4059-b41b-06aed74aecce.MOBGUFK4RNVPCG3M.SEARCH&ppt=None&ppn=None&ssid=cueo9l8s5s0000001713284307968,4.2,No reviews available
"MOTOROLA G04 (Satin Blue, 64 GB)","₹6,999",https://www.flipkart.com/motorola-g04-satin-blue-64-gb/p/itmf126d16fff1b9?pid=MOBGUFK4X5AEBBDE&lid=LSTMOBGUFK4X5AEBBDEF89KFH&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_9&otracker=browse&fm=organic&iid=bb5ce5b9-c6f2-4059-b41b-06aed74aecce.MOBGUFK4X5AEBBDE.SEARCH&ppt=None&ppn=None&ssid=cueo9l8s5s0000001713284307968,4.2,No reviews available
"MOTOROLA g24 Power (Glacier Blue, 128 GB)","₹7,999",https://www.flipkart.com/motorola-g24-power-glacier-blue-128-gb/p/itm766650509967e?pid=MOBGUFK4FEVX2D5T&lid=LSTMOBGUFK4FEVX2D5TYKGLO6&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_10&otracker=browse&fm=organic&iid=bb5ce5b9-c6f2-4059-b41b-06aed74aecce.MOBGUFK4FEVX2D5T.SEARCH&ppt=None&ppn=None&ssid=cueo9l8s5s0000001713284307968,4.2,No reviews available
"MOTOROLA G04 (Sea Green, 64 GB)","₹6,999",https://www.flipkart.com/motorola-g04-sea-green-64-gb/p/itma5e47013b85f7?pid=MOBGUFK4HDHHKJPP&lid=LSTMOBGUFK4HDHHKJPPCWIVJB&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_11&otracker=browse&fm=organic&iid=bb5ce5b9-c6f2-4059-b41b-06aed74aecce.MOBGUFK4HDHHKJPP.SEARCH&ppt=None&ppn=None&ssid=cueo9l8s5s0000001713284307968,4.2,No reviews available
"MOTOROLA G04 (Concord Black, 64 GB)","₹6,999",https://www.flipkart.com/motorola-g04-concord-black-64-gb/p/itm1466484dd2cea?pid=MOBGUFK4HPBEUCFH&lid=LSTMOBGUFK4HPBEUCFHHMCZAP&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_13&otracker=browse&fm=organic&iid=bb5ce5b9-c6f2-4059-b41b-06aed74aecce.MOBGUFK4HPBEUCFH.SEARCH&ppt=None&ppn=None&ssid=cueo9l8s5s0000001713284307968,4.2,No reviews available
"Motorola G34 5G (Ice Blue, 128 GB)","₹10,999",https://www.flipkart.com/motorola-g34-5g-ice-blue-128-gb/p/itm0f6b45af1c0f0?pid=MOBGUFK4ZX2ZHMTQ&lid=LSTMOBGUFK4ZX2ZHMTQPDILZF&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_14&otracker=browse&fm=organic&iid=bb5ce5b9-c6f2-4059-b41b-06aed74aecce.MOBGUFK4ZX2ZHMTQ.SEARCH&ppt=None&ppn=None&ssid=cueo9l8s5s0000001713284307968,4.2,No reviews available
"POCO C51 - Locked with Airtel Prepaid (Power Black, 64 GB)","₹4,999",https://www.flipkart.com/poco-c51-locked-airtel-prepaid-power-black-64-gb/p/itmf84c207e77bd0?pid=MOBGQTDPRFVZQYWB&lid=LSTMOBGQTDPRFVZQYWBKWRQKC&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_2&otracker=browse&fm=organic&iid=bb5ce5b9-c6f2-4059-b41b-06aed74aecce.MOBGQTDPRFVZQYWB.SEARCH&ppt=None&ppn=None&ssid=cueo9l8s5s0000001713284307968,4,No reviews available
"POCO C51 - Locked with Airtel Prepaid (Royal Blue, 64 GB)","₹4,999",https://www.flipkart.com/poco-c51-locked-airtel-prepaid-royal-blue-64-gb/p/itm795e693024fbb?pid=MOBGQTDP5DGSNS7Q&lid=LSTMOBGQTDP5DGSNS7QW964PY&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_8&otracker=browse&fm=organic&iid=bb5ce5b9-c6f2-4059-b41b-06aed74aecce.MOBGQTDP5DGSNS7Q.SEARCH&ppt=None&ppn=None&ssid=cueo9l8s5s0000001713284307968,4,No reviews available
