Phone,Price,Mobile Link,Brand,Color,Storage
"Nothing Phone (2a) 5G (Black, 128 GB)","₹23,999",https://www.flipkart.com/nothing-phone-2a-5g-black-128-gb/p/itm85c6bca5edadc?pid=MOBGVMQSZWSCFFWT&lid=LSTMOBGVMQSZWSCFFWTLEUOV6&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_1&otracker=browse&fm=organic&iid=en__i3XWxhexp4oblzs9ipxpqeq9cwIdjhfzGoBLBKZe6r_1h5hAN-GL8hJdcHvunJjUhCgNtUJgrdrwsXsjTCLxPUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=4mc7a6vc7k0000001713048194168,Nothing,2a,Not available
"REDMI 13C (Starfrost White, 128 GB)","₹7,699",https://www.flipkart.com/redmi-13c-starfrost-white-128-gb/p/itm8e332b8346bef?pid=MOBGWUHSZKWBZQWJ&lid=LSTMOBGWUHSZKWBZQWJALOQ27&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_2&otracker=browse&fm=organic&iid=en__i3XWxhexp4oblzs9ipxpqeq9cwIdjhfzGoBLBKZe6pblmx6QQubCJWMrWYG1KxjPYUGIjUOADVcPXDZVgj3UvUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=4mc7a6vc7k0000001713048194168,REDMI,Starfrost White,128 GB
"Motorola G34 5G (Ocean Green, 128 GB)","₹11,999",https://www.flipkart.com/motorola-g34-5g-ocean-green-128-gb/p/itm6b1a33b9d9191?pid=MOBGUFK4TZ2CJYHJ&lid=LSTMOBGUFK4TZ2CJYHJPBUF6M&marketplace=FLIPKART&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&srno=b_1_3&otracker=browse&fm=organic&iid=fa1e678a-c04f-4bcb-89e4-4f3739de5b1f.MOBGUFK4TZ2CJYHJ.SEARCH&ppt=None&ppn=None&ssid=4mc7a6vc7k0000001713048194168,Motorola,Power Black,64 GB
"Motorola G34 5G (Charcoal Black, 128 GB)","₹11,999",https://www.flipkart.com/motorola-g34-5g-charcoal-black-128-gb/p/itmcf3922f5c94b2?pid=MOBGUFK4QPQMAA2S&lid=LSTMOBGUFK4QPQMAA2SCAYBBS&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_4&otracker=browse&fm=organic&iid=fa1e678a-c04f-4bcb-89e4-4f3739de5b1f.MOBGUFK4QPQMAA2S.SEARCH&ppt=None&ppn=None&ssid=4mc7a6vc7k0000001713048194168,Motorola,Ocean Green,128 GB
"Motorola G34 5G (Ice Blue, 128 GB)","₹11,999",https://www.flipkart.com/motorola-g34-5g-ice-blue-128-gb/p/itmc36bacc1f7bb0?pid=MOBGUFK4P2H9CY7Y&lid=LSTMOBGUFK4P2H9CY7Y4FYWMH&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_5&otracker=browse&fm=organic&iid=fa1e678a-c04f-4bcb-89e4-4f3739de5b1f.MOBGUFK4P2H9CY7Y.SEARCH&ppt=None&ppn=None&ssid=4mc7a6vc7k0000001713048194168,Motorola,Charcoal Black,128 GB
"MOTOROLA g24 Power (Ink blue, 128 GB)","₹8,999",https://www.flipkart.com/motorola-g24-power-ink-blue-128-gb/p/itm38450b60d2af2?pid=MOBGUFK4RNVPCG3M&lid=LSTMOBGUFK4RNVPCG3MCW1WFP&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_6&otracker=browse&fm=organic&iid=fa1e678a-c04f-4bcb-89e4-4f3739de5b1f.MOBGUFK4RNVPCG3M.SEARCH&ppt=None&ppn=None&ssid=4mc7a6vc7k0000001713048194168,MOTOROLA,Ice Blue,128 GB
"MOTOROLA g24 Power (Ink blue, 128 GB)","₹7,999",https://www.flipkart.com/motorola-g24-power-ink-blue-128-gb/p/itmecab4a01b8aaf?pid=MOBGUFK4UBP7ZTXJ&lid=LSTMOBGUFK4UBP7ZTXJ6TV61J&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_7&otracker=browse&fm=organic&iid=fa1e678a-c04f-4bcb-89e4-4f3739de5b1f.MOBGUFK4UBP7ZTXJ.SEARCH&ppt=None&ppn=None&ssid=4mc7a6vc7k0000001713048194168,MOTOROLA,Ink blue,128 GB
"SAMSUNG Galaxy F15 5G (Ash Black, 128 GB)","₹12,999",https://www.flipkart.com/samsung-galaxy-f15-5g-ash-black-128-gb/p/itm81af925bc1e26?pid=MOBGYBAVFGJGMQGY&lid=LSTMOBGYBAVFGJGMQGYZF1Q0M&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_8&otracker=browse&fm=organic&iid=en__i3XWxhexp4oblzs9ipxpqeq9cwIdjhfzGoBLBKZe6oXyoepJ9dKz-hkRHqBZPTlQp-asJH5MfYQ-5BYgyKFk33Gaq_wzx4HJysDmGalzMk%3D&ppt=None&ppn=None&ssid=4mc7a6vc7k0000001713048194168,SAMSUNG,Ash Black,128 GB
"MOTOROLA G04 (Satin Blue, 64 GB)","₹6,999",https://www.flipkart.com/motorola-g04-satin-blue-64-gb/p/itmf126d16fff1b9?pid=MOBGUFK4X5AEBBDE&lid=LSTMOBGUFK4X5AEBBDEF89KFH&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_9&otracker=browse&fm=organic&iid=fa1e678a-c04f-4bcb-89e4-4f3739de5b1f.MOBGUFK4X5AEBBDE.SEARCH&ppt=None&ppn=None&ssid=4mc7a6vc7k0000001713048194168,MOTOROLA,Ink blue,128 GB
"MOTOROLA G04 (Sea Green, 64 GB)","₹6,999",https://www.flipkart.com/motorola-g04-sea-green-64-gb/p/itma5e47013b85f7?pid=MOBGUFK4HDHHKJPP&lid=LSTMOBGUFK4HDHHKJPPCWIVJB&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_10&otracker=browse&fm=organic&iid=fa1e678a-c04f-4bcb-89e4-4f3739de5b1f.MOBGUFK4HDHHKJPP.SEARCH&ppt=None&ppn=None&ssid=4mc7a6vc7k0000001713048194168,MOTOROLA,Royal Blue,64 GB
