Phone,Price,Mobile Link,Brand,Color,Storage
"realme P1 5G (Peacock Green, 128 GB)","₹15,999",https://www.flipkart.com/realme-p1-5g-peacock-green-128-gb/p/itmae4447062b5b5?pid=MOBGYQ6BEHHQ9H7X&lid=LSTMOBGYQ6BEHHQ9H7XUGYV7T&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_1&otracker=browse&fm=organic&iid=en_UpM1tINrnefa8y1Aj0Z9U55wJIOl6QK9sdjfDqI9v4rJ9HwRzCU0u7Wh6Lpx9UwnljSYgtyPWqSwGpbsSVDA-w%3D%3D&ppt=None&ppn=None&ssid=3es4yq2zb40000001713282777354,realme,2a,Not available
"Nothing Phone (2a) 5G (Black, 128 GB)","₹23,999",https://www.flipkart.com/nothing-phone-2a-5g-black-128-gb/p/itm85c6bca5edadc?pid=MOBGVMQSZWSCFFWT&lid=LSTMOBGVMQSZWSCFFWTLEUOV6&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_2&otracker=browse&fm=organic&iid=en_UpM1tINrnefa8y1Aj0Z9U55wJIOl6QK9sdjfDqI9v4rWzDT7UuHFSku_0_LnpX7i_jynHU_QJtKm4JuqoT_7HQ%3D%3D&ppt=None&ppn=None&ssid=3es4yq2zb40000001713282777354,Nothing,Starfrost White,128 GB
"POCO C51 - Locked with Airtel Prepaid (Power Black, 64 GB)","₹4,999",https://www.flipkart.com/poco-c51-locked-airtel-prepaid-power-black-64-gb/p/itmf84c207e77bd0?pid=MOBGQTDPRFVZQYWB&lid=LSTMOBGQTDPRFVZQYWBKWRQKC&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_3&otracker=browse&fm=organic&iid=20f31b2c-4a68-4b38-b83c-6db674d3c3d4.MOBGQTDPRFVZQYWB.SEARCH&ppt=None&ppn=None&ssid=3es4yq2zb40000001713282777354,POCO,Power Black,64 GB
"Motorola G34 5G (Ocean Green, 128 GB)","₹11,999",https://www.flipkart.com/motorola-g34-5g-ocean-green-128-gb/p/itm6b1a33b9d9191?pid=MOBGUFK4TZ2CJYHJ&lid=LSTMOBGUFK4TZ2CJYHJPBUF6M&marketplace=FLIPKART&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&srno=b_1_4&otracker=browse&fm=organic&iid=20f31b2c-4a68-4b38-b83c-6db674d3c3d4.MOBGUFK4TZ2CJYHJ.SEARCH&ppt=None&ppn=None&ssid=3es4yq2zb40000001713282777354,Motorola,Ocean Green,128 GB
"Motorola G34 5G (Ice Blue, 128 GB)","₹11,999",https://www.flipkart.com/motorola-g34-5g-ice-blue-128-gb/p/itmc36bacc1f7bb0?pid=MOBGUFK4P2H9CY7Y&lid=LSTMOBGUFK4P2H9CY7Y4FYWMH&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_5&otracker=browse&fm=organic&iid=20f31b2c-4a68-4b38-b83c-6db674d3c3d4.MOBGUFK4P2H9CY7Y.SEARCH&ppt=None&ppn=None&ssid=3es4yq2zb40000001713282777354,Motorola,Charcoal Black,128 GB
"Motorola G34 5G (Charcoal Black, 128 GB)","₹11,999",https://www.flipkart.com/motorola-g34-5g-charcoal-black-128-gb/p/itmcf3922f5c94b2?pid=MOBGUFK4QPQMAA2S&lid=LSTMOBGUFK4QPQMAA2SCAYBBS&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_6&otracker=browse&fm=organic&iid=20f31b2c-4a68-4b38-b83c-6db674d3c3d4.MOBGUFK4QPQMAA2S.SEARCH&ppt=None&ppn=None&ssid=3es4yq2zb40000001713282777354,Motorola,Ice Blue,128 GB
"MOTOROLA g24 Power (Ink blue, 128 GB)","₹7,999",https://www.flipkart.com/motorola-g24-power-ink-blue-128-gb/p/itmecab4a01b8aaf?pid=MOBGUFK4UBP7ZTXJ&lid=LSTMOBGUFK4UBP7ZTXJ6TV61J&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_7&otracker=browse&fm=organic&iid=20f31b2c-4a68-4b38-b83c-6db674d3c3d4.MOBGUFK4UBP7ZTXJ.SEARCH&ppt=None&ppn=None&ssid=3es4yq2zb40000001713282777354,MOTOROLA,Ink blue,128 GB
"MOTOROLA g24 Power (Ink blue, 128 GB)","₹8,999",https://www.flipkart.com/motorola-g24-power-ink-blue-128-gb/p/itm38450b60d2af2?pid=MOBGUFK4RNVPCG3M&lid=LSTMOBGUFK4RNVPCG3MCW1WFP&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_8&otracker=browse&fm=organic&iid=20f31b2c-4a68-4b38-b83c-6db674d3c3d4.MOBGUFK4RNVPCG3M.SEARCH&ppt=None&ppn=None&ssid=3es4yq2zb40000001713282777354,MOTOROLA,Ash Black,128 GB
"POCO C51 - Locked with Airtel Prepaid (Royal Blue, 64 GB)","₹4,999",https://www.flipkart.com/poco-c51-locked-airtel-prepaid-royal-blue-64-gb/p/itm795e693024fbb?pid=MOBGQTDP5DGSNS7Q&lid=LSTMOBGQTDP5DGSNS7QW964PY&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_9&otracker=browse&fm=organic&iid=20f31b2c-4a68-4b38-b83c-6db674d3c3d4.MOBGQTDP5DGSNS7Q.SEARCH&ppt=None&ppn=None&ssid=3es4yq2zb40000001713282777354,POCO,Ink blue,128 GB
"MOTOROLA G04 (Satin Blue, 64 GB)","₹6,999",https://www.flipkart.com/motorola-g04-satin-blue-64-gb/p/itmf126d16fff1b9?pid=MOBGUFK4X5AEBBDE&lid=LSTMOBGUFK4X5AEBBDEF89KFH&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_10&otracker=browse&fm=organic&iid=20f31b2c-4a68-4b38-b83c-6db674d3c3d4.MOBGUFK4X5AEBBDE.SEARCH&ppt=None&ppn=None&ssid=3es4yq2zb40000001713282777354,MOTOROLA,Royal Blue,64 GB
