Phone,Price,Mobile Link,Brand
"SAMSUNG Galaxy F15 5G (Groovy Violet, 128 GB)","₹12,999",https://www.flipkart.com/samsung-galaxy-f15-5g-groovy-violet-128-gb/p/itmd0aaf528709de?pid=MOBGYBAVSDFYZFNY&lid=LSTMOBGYBAVSDFYZFNY0YSXRQ&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_12&otracker=browse&fm=organic&iid=en_C7d5cvYFFxKrZX_iPqksmL1JgXGZfOmIfXR1hWCC84Z5l2AljKkRnFZRiNVDoX-JxSJWgYi9VlCXxevwpu4KCmaRs4JL222ZRV-dN99QnxU%3D&ppt=None&ppn=None&ssid=eo9ywv1pow0000001713044726529,SAMSUNG
"REDMI 13C (Starshine Green, 128 GB)","₹7,699",https://www.flipkart.com/redmi-13c-starshine-green-128-gb/p/itmc4f0763fb3a50?pid=MOBGW4HKUXHFDYU2&lid=LSTMOBGW4HKUXHFDYU2WMFCCU&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_13&otracker=browse&fm=organic&iid=708adbcd-c304-4bd9-983a-8fd40dba5af5.MOBGW4HKUXHFDYU2.SEARCH&ppt=None&ppn=None&ssid=eo9ywv1pow0000001713044726529,REDMI
"MOTOROLA G04 (Satin Blue, 64 GB)","₹6,999",https://www.flipkart.com/motorola-g04-satin-blue-64-gb/p/itmf126d16fff1b9?pid=MOBGUFK4X5AEBBDE&lid=LSTMOBGUFK4X5AEBBDEF89KFH&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_14&otracker=browse&fm=organic&iid=708adbcd-c304-4bd9-983a-8fd40dba5af5.MOBGUFK4X5AEBBDE.SEARCH&ppt=None&ppn=None&ssid=eo9ywv1pow0000001713044726529,MOTOROLA
"MOTOROLA g24 Power (Glacier Blue, 128 GB)","₹7,999",https://www.flipkart.com/motorola-g24-power-glacier-blue-128-gb/p/itm766650509967e?pid=MOBGUFK4FEVX2D5T&lid=LSTMOBGUFK4FEVX2D5TYKGLO6&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_15&otracker=browse&fm=organic&iid=708adbcd-c304-4bd9-983a-8fd40dba5af5.MOBGUFK4FEVX2D5T.SEARCH&ppt=None&ppn=None&ssid=eo9ywv1pow0000001713044726529,MOTOROLA
"MOTOROLA G04 (Sea Green, 64 GB)","₹6,999",https://www.flipkart.com/motorola-g04-sea-green-64-gb/p/itma5e47013b85f7?pid=MOBGUFK4HDHHKJPP&lid=LSTMOBGUFK4HDHHKJPPCWIVJB&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_16&otracker=browse&fm=organic&iid=708adbcd-c304-4bd9-983a-8fd40dba5af5.MOBGUFK4HDHHKJPP.SEARCH&ppt=None&ppn=None&ssid=eo9ywv1pow0000001713044726529,MOTOROLA
"REDMI 12 5G (Jade Black, 128 GB)","₹11,999",https://www.flipkart.com/redmi-12-5g-jade-black-128-gb/p/itmb7b9567637d5c?pid=MOBGS9QU7QVWUWRD&lid=LSTMOBGS9QU7QVWUWRDWPHNEP&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_17&otracker=browse&fm=organic&iid=en_C7d5cvYFFxKrZX_iPqksmL1JgXGZfOmIfXR1hWCC84YEH52PPLgn5JmcRTB1DvlYB5-aRppkgDwG2QWURTateK8iqbiwhGf4dwbXVx7ZSks%3D&ppt=None&ppn=None&ssid=eo9ywv1pow0000001713044726529,REDMI
"SAMSUNG Galaxy F15 5G (Jazzy Green, 128 GB)","₹14,499",https://www.flipkart.com/samsung-galaxy-f15-5g-jazzy-green-128-gb/p/itm3202236886884?pid=MOBGYBAVKWJWSNNQ&lid=LSTMOBGYBAVKWJWSNNQQBJZHM&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_18&otracker=browse&fm=organic&iid=en_C7d5cvYFFxKrZX_iPqksmL1JgXGZfOmIfXR1hWCC84Y9GR5TOy8-IG9Xsxaij0HNB1gctVj8zXD1ISPv_29gWvKSJvID5C-RdFfAlzwDiqI%3D&ppt=None&ppn=None&ssid=eo9ywv1pow0000001713044726529,SAMSUNG
"vivo T2x 5G (Glimmer Black, 128 GB)","₹12,999",https://www.flipkart.com/vivo-t2x-5g-glimmer-black-128-gb/p/itmcb8f0f6a85d5d?pid=MOBGZBFUF389GDMP&lid=LSTMOBGZBFUF389GDMPYKMTEO&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_19&otracker=browse&fm=organic&iid=708adbcd-c304-4bd9-983a-8fd40dba5af5.MOBGZBFUF389GDMP.SEARCH&ppt=None&ppn=None&ssid=eo9ywv1pow0000001713044726529,vivo
"Motorola G34 5G (Ice Blue, 128 GB)","₹10,999",https://www.flipkart.com/motorola-g34-5g-ice-blue-128-gb/p/itm0f6b45af1c0f0?pid=MOBGUFK4ZX2ZHMTQ&lid=LSTMOBGUFK4ZX2ZHMTQPDILZF&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_20&otracker=browse&fm=organic&iid=708adbcd-c304-4bd9-983a-8fd40dba5af5.MOBGUFK4ZX2ZHMTQ.SEARCH&ppt=None&ppn=None&ssid=eo9ywv1pow0000001713044726529,Motorola
"SAMSUNG Galaxy A15 5G (Blue Black, 128 GB)","₹19,499",https://www.flipkart.com/samsung-galaxy-a15-5g-blue-black-128-gb/p/itmef383f04d3bf0?pid=MOBGWD85ZUA8BMDZ&lid=LSTMOBGWD85ZUA8BMDZUAXCNF&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_21&otracker=browse&fm=organic&iid=en_C7d5cvYFFxKrZX_iPqksmL1JgXGZfOmIfXR1hWCC84YvgYa0Io9zBR6VXVwiVqWjn2yEpSKCztiofy5m_5be2csrgPW5YLzJU0_H6_RHKR0%3D&ppt=None&ppn=None&ssid=eo9ywv1pow0000001713044726529,SAMSUNG
