Phone,Price,Mobile Link,Brand,Color,Storage,Image URL
"realme P1 5G (Peacock Green, 128 GB)","₹15,999",https://www.flipkart.com/realme-p1-5g-peacock-green-128-gb/p/itmae4447062b5b5?pid=MOBGYQ6BEHHQ9H7X&lid=LSTMOBGYQ6BEHHQ9H7XUGYV7T&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_1&otracker=browse&fm=organic&iid=en_wKrBaVAyKMeQk8C3DlGWH2fFKkf6acP3pxR0ny8BVQuC5nxxF2lNMvTpPFTshwTOljSYgtyPWqSwGpbsSVDA-w%3D%3D&ppt=None&ppn=None&ssid=hedsiw8i280000001713283186982,realme,2a,Not available,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/p/d/w/p1-5g-rmx3870-realme-original-imagzxksvkdqufye.jpeg?q=70
"Nothing Phone (2a) 5G (Black, 128 GB)","₹23,999",https://www.flipkart.com/nothing-phone-2a-5g-black-128-gb/p/itm85c6bca5edadc?pid=MOBGVMQSZWSCFFWT&lid=LSTMOBGVMQSZWSCFFWTLEUOV6&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_2&otracker=browse&fm=organic&iid=en_wKrBaVAyKMeQk8C3DlGWH2fFKkf6acP3pxR0ny8BVQt2od0uJN1X9l5XiTTBjjOu_jynHU_QJtKm4JuqoT_7HQ%3D%3D&ppt=None&ppn=None&ssid=hedsiw8i280000001713283186982,Nothing,Starfrost White,128 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/h/i/x/-original-imagyr3vfpqrpkbv.jpeg?q=70
"POCO C51 - Locked with Airtel Prepaid (Power Black, 64 GB)","₹4,999",https://www.flipkart.com/poco-c51-locked-airtel-prepaid-power-black-64-gb/p/itmf84c207e77bd0?pid=MOBGQTDPRFVZQYWB&lid=LSTMOBGQTDPRFVZQYWBKWRQKC&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_3&otracker=browse&fm=organic&iid=b598cbd0-cd34-4ce5-8871-738a55e3b1d1.MOBGQTDPRFVZQYWB.SEARCH&ppt=None&ppn=None&ssid=hedsiw8i280000001713283186982,POCO,Power Black,64 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/n/v/b/-original-imagt4td4q9u7kxx.jpeg?q=70
"Motorola G34 5G (Ocean Green, 128 GB)","₹11,999",https://www.flipkart.com/motorola-g34-5g-ocean-green-128-gb/p/itm6b1a33b9d9191?pid=MOBGUFK4TZ2CJYHJ&lid=LSTMOBGUFK4TZ2CJYHJPBUF6M&marketplace=FLIPKART&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&srno=b_1_4&otracker=browse&fm=organic&iid=b598cbd0-cd34-4ce5-8871-738a55e3b1d1.MOBGUFK4TZ2CJYHJ.SEARCH&ppt=None&ppn=None&ssid=hedsiw8i280000001713283186982,Motorola,Ocean Green,128 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/n/m/f/g34-5g-pb1v0002in-motorola-original-imagwu4rayqhgfjh.jpeg?q=70
"Motorola G34 5G (Ice Blue, 128 GB)","₹11,999",https://www.flipkart.com/motorola-g34-5g-ice-blue-128-gb/p/itmc36bacc1f7bb0?pid=MOBGUFK4P2H9CY7Y&lid=LSTMOBGUFK4P2H9CY7Y4FYWMH&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_5&otracker=browse&fm=organic&iid=b598cbd0-cd34-4ce5-8871-738a55e3b1d1.MOBGUFK4P2H9CY7Y.SEARCH&ppt=None&ppn=None&ssid=hedsiw8i280000001713283186982,Motorola,Charcoal Black,128 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/c/k/9/g34-5g-pb1v0001in-motorola-original-imagwu4r4xze9jwz.jpeg?q=70
"Motorola G34 5G (Charcoal Black, 128 GB)","₹11,999",https://www.flipkart.com/motorola-g34-5g-charcoal-black-128-gb/p/itmcf3922f5c94b2?pid=MOBGUFK4QPQMAA2S&lid=LSTMOBGUFK4QPQMAA2SCAYBBS&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_6&otracker=browse&fm=organic&iid=b598cbd0-cd34-4ce5-8871-738a55e3b1d1.MOBGUFK4QPQMAA2S.SEARCH&ppt=None&ppn=None&ssid=hedsiw8i280000001713283186982,Motorola,Ice Blue,128 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/m/o/y/g34-5g-pb1v0000in-motorola-original-imagwu4s8naevwyq.jpeg?q=70
"MOTOROLA g24 Power (Ink blue, 128 GB)","₹7,999",https://www.flipkart.com/motorola-g24-power-ink-blue-128-gb/p/itmecab4a01b8aaf?pid=MOBGUFK4UBP7ZTXJ&lid=LSTMOBGUFK4UBP7ZTXJ6TV61J&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_7&otracker=browse&fm=organic&iid=b598cbd0-cd34-4ce5-8871-738a55e3b1d1.MOBGUFK4UBP7ZTXJ.SEARCH&ppt=None&ppn=None&ssid=hedsiw8i280000001713283186982,MOTOROLA,Ink blue,128 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/d/w/j/g24-pb1c0000in-motorola-original-imagxm3afhhxpqz9.jpeg?q=70
"MOTOROLA g24 Power (Ink blue, 128 GB)","₹8,999",https://www.flipkart.com/motorola-g24-power-ink-blue-128-gb/p/itm38450b60d2af2?pid=MOBGUFK4RNVPCG3M&lid=LSTMOBGUFK4RNVPCG3MCW1WFP&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_8&otracker=browse&fm=organic&iid=b598cbd0-cd34-4ce5-8871-738a55e3b1d1.MOBGUFK4RNVPCG3M.SEARCH&ppt=None&ppn=None&ssid=hedsiw8i280000001713283186982,MOTOROLA,Ash Black,128 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/d/w/j/g24-pb1c0000in-motorola-original-imagxm3afhhxpqz9.jpeg?q=70
"POCO C51 - Locked with Airtel Prepaid (Royal Blue, 64 GB)","₹4,999",https://www.flipkart.com/poco-c51-locked-airtel-prepaid-royal-blue-64-gb/p/itm795e693024fbb?pid=MOBGQTDP5DGSNS7Q&lid=LSTMOBGQTDP5DGSNS7QW964PY&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_9&otracker=browse&fm=organic&iid=b598cbd0-cd34-4ce5-8871-738a55e3b1d1.MOBGQTDP5DGSNS7Q.SEARCH&ppt=None&ppn=None&ssid=hedsiw8i280000001713283186982,POCO,Ink blue,128 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/9/i/h/-original-imagt4tdvvhyag9j.jpeg?q=70
"MOTOROLA G04 (Satin Blue, 64 GB)","₹6,999",https://www.flipkart.com/motorola-g04-satin-blue-64-gb/p/itmf126d16fff1b9?pid=MOBGUFK4X5AEBBDE&lid=LSTMOBGUFK4X5AEBBDEF89KFH&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_10&otracker=browse&fm=organic&iid=b598cbd0-cd34-4ce5-8871-738a55e3b1d1.MOBGUFK4X5AEBBDE.SEARCH&ppt=None&ppn=None&ssid=hedsiw8i280000001713283186982,MOTOROLA,Royal Blue,64 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/k/6/l/g04-pb130012in-motorola-original-imagy3tfdhjgnzbd.jpeg?q=70
"MOTOROLA g24 Power (Glacier Blue, 128 GB)","₹7,999",https://www.flipkart.com/motorola-g24-power-glacier-blue-128-gb/p/itm766650509967e?pid=MOBGUFK4FEVX2D5T&lid=LSTMOBGUFK4FEVX2D5TYKGLO6&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_11&otracker=browse&fm=organic&iid=b598cbd0-cd34-4ce5-8871-738a55e3b1d1.MOBGUFK4FEVX2D5T.SEARCH&ppt=None&ppn=None&ssid=hedsiw8i280000001713283186982,MOTOROLA,White,512 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/d/i/m/g24-pb1c0001in-motorola-original-imagxm3bhyh7ywnr.jpeg?q=70
"MOTOROLA G04 (Sea Green, 64 GB)","₹6,999",https://www.flipkart.com/motorola-g04-sea-green-64-gb/p/itma5e47013b85f7?pid=MOBGUFK4HDHHKJPP&lid=LSTMOBGUFK4HDHHKJPPCWIVJB&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_12&otracker=browse&fm=organic&iid=b598cbd0-cd34-4ce5-8871-738a55e3b1d1.MOBGUFK4HDHHKJPP.SEARCH&ppt=None&ppn=None&ssid=hedsiw8i280000001713283186982,MOTOROLA,Groovy Violet,128 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/h/b/x/g04-pb130011in-motorola-original-imagy3tfvncuegaz.jpeg?q=70
"Motorola Edge 40 Neo (Black Beauty, 128 GB)","₹22,999",https://www.flipkart.com/motorola-edge-40-neo-black-beauty-128-gb/p/itm01cc46d96a79f?pid=MOBGQFX6JGTWFSGD&lid=LSTMOBGQFX6JGTWFSGDTXTCZS&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_13&otracker=browse&fm=organic&iid=b598cbd0-cd34-4ce5-8871-738a55e3b1d1.MOBGQFX6JGTWFSGD.SEARCH&ppt=None&ppn=None&ssid=hedsiw8i280000001713283186982,Motorola,Starshine Green,128 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/p/r/r/edge-40-neo-payj0002in-motorola-original-imagtkzh8zrvp3uj.jpeg?q=70
"MOTOROLA G04 (Concord Black, 64 GB)","₹6,999",https://www.flipkart.com/motorola-g04-concord-black-64-gb/p/itm1466484dd2cea?pid=MOBGUFK4HPBEUCFH&lid=LSTMOBGUFK4HPBEUCFHHMCZAP&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_14&otracker=browse&fm=organic&iid=b598cbd0-cd34-4ce5-8871-738a55e3b1d1.MOBGUFK4HPBEUCFH.SEARCH&ppt=None&ppn=None&ssid=hedsiw8i280000001713283186982,MOTOROLA,Satin Blue,64 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/v/s/z/g04-pb130010in-motorola-original-imagy3tecryv84k7.jpeg?q=70
"Motorola G34 5G (Ice Blue, 128 GB)","₹10,999",https://www.flipkart.com/motorola-g34-5g-ice-blue-128-gb/p/itm0f6b45af1c0f0?pid=MOBGUFK4ZX2ZHMTQ&lid=LSTMOBGUFK4ZX2ZHMTQPDILZF&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_15&otracker=browse&fm=organic&iid=b598cbd0-cd34-4ce5-8871-738a55e3b1d1.MOBGUFK4ZX2ZHMTQ.SEARCH&ppt=None&ppn=None&ssid=hedsiw8i280000001713283186982,Motorola,Glacier Blue,128 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/c/k/9/g34-5g-pb1v0001in-motorola-original-imagwu4r4xze9jwz.jpeg?q=70
