Phone,Price,Mobile Link,Brand,Color,Storage
"SAMSUNG Galaxy F14 5G (GOAT Green, 128 GB)","₹10,490",https://www.flipkart.com/samsung-galaxy-f14-5g-goat-green-128-gb/p/itm032d1a69999cc?pid=MOBGNBFNDPGNJ7HY&lid=LSTMOBGNBFNDPGNJ7HYRCCFUH&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_12&otracker=browse&fm=organic&iid=ab25184b-e40a-447f-8521-8fb25eaf6685.MOBGNBFNDPGNJ7HY.SEARCH&ppt=None&ppn=None&ssid=34ritg2hrk0000001713283633394,SAMSUNG,Groovy Violet,128 GB
"POCO C65 (Pastel Blue, 128 GB)","₹7,999",https://www.flipkart.com/poco-c65-pastel-blue-128-gb/p/itm496cf027e5826?pid=MOBGVVTXTQDGZ7JY&lid=LSTMOBGVVTXTQDGZ7JYJ1XDW1&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_13&otracker=browse&fm=organic&iid=ab25184b-e40a-447f-8521-8fb25eaf6685.MOBGVVTXTQDGZ7JY.SEARCH&ppt=None&ppn=None&ssid=34ritg2hrk0000001713283633394,POCO,Starshine Green,128 GB
"SAMSUNG Galaxy F14 5G (OMG Black, 128 GB)","₹10,490",https://www.flipkart.com/samsung-galaxy-f14-5g-omg-black-128-gb/p/itmae94033406fb2?pid=MOBGNBFNE6KGXCCR&lid=LSTMOBGNBFNE6KGXCCRXLTXS7&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_14&otracker=browse&fm=organic&iid=ab25184b-e40a-447f-8521-8fb25eaf6685.MOBGNBFNE6KGXCCR.SEARCH&ppt=None&ppn=None&ssid=34ritg2hrk0000001713283633394,SAMSUNG,Satin Blue,64 GB
"OnePlus Nord CE 3 Lite 5G (Pastel Lime, 256 GB)","₹19,347",https://www.flipkart.com/oneplus-nord-ce-3-lite-5g-pastel-lime-256-gb/p/itm2cd5a4e659035?pid=MOBGZJ3ZFQ8AKKRS&lid=LSTMOBGZJ3ZFQ8AKKRS7Z6DKL&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_15&otracker=browse&fm=organic&iid=ab25184b-e40a-447f-8521-8fb25eaf6685.MOBGZJ3ZFQ8AKKRS.SEARCH&ppt=None&ppn=None&ssid=34ritg2hrk0000001713283633394,OnePlus,Glacier Blue,128 GB
"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 256 GB)","₹19,432",https://www.flipkart.com/oneplus-nord-ce-3-lite-5g-chromatic-gray-256-gb/p/itm2cd5a4e659035?pid=MOBGZJ45PS4AQ7BA&lid=LSTMOBGZJ45PS4AQ7BAYQUWAG&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_16&otracker=browse&fm=organic&iid=ab25184b-e40a-447f-8521-8fb25eaf6685.MOBGZJ45PS4AQ7BA.SEARCH&ppt=None&ppn=None&ssid=34ritg2hrk0000001713283633394,OnePlus,Sea Green,64 GB
"SAMSUNG Galaxy F14 5G (B.A.E. Purple, 128 GB)","₹10,490",https://www.flipkart.com/samsung-galaxy-f14-5g-b-a-e-purple-128-gb/p/itmdc1c60aa887ff?pid=MOBGNBFNNZER2WZW&lid=LSTMOBGNBFNNZER2WZWDG8CJ0&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_17&otracker=browse&fm=organic&iid=ab25184b-e40a-447f-8521-8fb25eaf6685.MOBGNBFNNZER2WZW.SEARCH&ppt=None&ppn=None&ssid=34ritg2hrk0000001713283633394,SAMSUNG,Jade Black,128 GB
"vivo T2x 5G (Glimmer Black, 128 GB)","₹12,999",https://www.flipkart.com/vivo-t2x-5g-glimmer-black-128-gb/p/itmcb8f0f6a85d5d?pid=MOBGZBFUF389GDMP&lid=LSTMOBGZBFUF389GDMPYKMTEO&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_18&otracker=browse&fm=organic&iid=ab25184b-e40a-447f-8521-8fb25eaf6685.MOBGZBFUF389GDMP.SEARCH&ppt=None&ppn=None&ssid=34ritg2hrk0000001713283633394,vivo,Jazzy Green,128 GB
"POCO M6 Pro 5G (Power Black, 128 GB)","₹10,999",https://www.flipkart.com/poco-m6-pro-5g-power-black-128-gb/p/itmef8fa46f89738?pid=MOBGRNZ3ER4N3K4F&lid=LSTMOBGRNZ3ER4N3K4FIYYGCU&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_19&otracker=browse&fm=organic&iid=ab25184b-e40a-447f-8521-8fb25eaf6685.MOBGRNZ3ER4N3K4F.SEARCH&ppt=None&ppn=None&ssid=34ritg2hrk0000001713283633394,POCO,Glimmer Black,128 GB
"MOTOROLA G04 (Sea Green, 128 GB)","₹7,999",https://www.flipkart.com/motorola-g04-sea-green-128-gb/p/itm853979118980f?pid=MOBGUFK4C9NZATQ6&lid=LSTMOBGUFK4C9NZATQ6ECHWPR&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_20&otracker=browse&fm=organic&iid=ab25184b-e40a-447f-8521-8fb25eaf6685.MOBGUFK4C9NZATQ6.SEARCH&ppt=None&ppn=None&ssid=34ritg2hrk0000001713283633394,MOTOROLA,Ice Blue,128 GB
"vivo T2x 5G (Marine Blue, 128 GB)","₹12,999",https://www.flipkart.com/vivo-t2x-5g-marine-blue-128-gb/p/itmcb8f0f6a85d5d?pid=MOBGZBFU4HBKKFSN&lid=LSTMOBGZBFU4HBKKFSNXXMXTS&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_21&otracker=browse&fm=organic&iid=ab25184b-e40a-447f-8521-8fb25eaf6685.MOBGZBFU4HBKKFSN.SEARCH&ppt=None&ppn=None&ssid=34ritg2hrk0000001713283633394,vivo,Blue Black,128 GB
