Phone,Price,Mobile Link,Brand,Color
"Xiaomi 14 Ultra (White, 512 GB)","₹99,999",https://www.flipkart.com/xiaomi-14-ultra-white-512-gb/p/itmedf0f28337915?pid=MOBGZZBHFXB2E5KK&lid=LSTMOBGZZBHFXB2E5KKNU2ABM&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_11&otracker=browse&fm=organic&iid=en_OaYstby-q_-DLSqGwu55cPVBF2mBo0LUgT1a9u7sVOoJ3uggPDzenxJ4yQWIO3SOdymi4zMmPRVXPz3WeZOynOvN4Mn-dv-pi277bRzMbnY%3D&ppt=None&ppn=None&ssid=9rpq75h7cg0000001713047449307,Xiaomi,White
"SAMSUNG Galaxy F15 5G (Groovy Violet, 128 GB)","₹12,999",https://www.flipkart.com/samsung-galaxy-f15-5g-groovy-violet-128-gb/p/itmd0aaf528709de?pid=MOBGYBAVSDFYZFNY&lid=LSTMOBGYBAVSDFYZFNY0YSXRQ&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_12&otracker=browse&fm=organic&iid=en_OaYstby-q_-DLSqGwu55cPVBF2mBo0LUgT1a9u7sVOpmDUTdQX2WjM_XiGn-Bms_xSJWgYi9VlCXxevwpu4KCmaRs4JL222ZRV-dN99QnxU%3D&ppt=None&ppn=None&ssid=9rpq75h7cg0000001713047449307,SAMSUNG,Groovy Violet
"MOTOROLA g24 Power (Glacier Blue, 128 GB)","₹7,999",https://www.flipkart.com/motorola-g24-power-glacier-blue-128-gb/p/itm766650509967e?pid=MOBGUFK4FEVX2D5T&lid=LSTMOBGUFK4FEVX2D5TYKGLO6&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_13&otracker=browse&fm=organic&iid=ca7277fd-f4c5-4975-b30d-9e11fd593df6.MOBGUFK4FEVX2D5T.SEARCH&ppt=None&ppn=None&ssid=9rpq75h7cg0000001713047449307,MOTOROLA,Starshine Green
"Motorola G34 5G (Ice Blue, 128 GB)","₹10,999",https://www.flipkart.com/motorola-g34-5g-ice-blue-128-gb/p/itm0f6b45af1c0f0?pid=MOBGUFK4ZX2ZHMTQ&lid=LSTMOBGUFK4ZX2ZHMTQPDILZF&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_14&otracker=browse&fm=organic&iid=ca7277fd-f4c5-4975-b30d-9e11fd593df6.MOBGUFK4ZX2ZHMTQ.SEARCH&ppt=None&ppn=None&ssid=9rpq75h7cg0000001713047449307,Motorola,Satin Blue
"Motorola Edge 40 Neo (Black Beauty, 128 GB)","₹22,999",https://www.flipkart.com/motorola-edge-40-neo-black-beauty-128-gb/p/itm01cc46d96a79f?pid=MOBGQFX6JGTWFSGD&lid=LSTMOBGQFX6JGTWFSGDTXTCZS&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_15&otracker=browse&fm=organic&iid=ca7277fd-f4c5-4975-b30d-9e11fd593df6.MOBGQFX6JGTWFSGD.SEARCH&ppt=None&ppn=None&ssid=9rpq75h7cg0000001713047449307,Motorola,Glacier Blue
"vivo T2x 5G (Glimmer Black, 128 GB)","₹12,999",https://www.flipkart.com/vivo-t2x-5g-glimmer-black-128-gb/p/itmcb8f0f6a85d5d?pid=MOBGZBFUF389GDMP&lid=LSTMOBGZBFUF389GDMPYKMTEO&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_16&otracker=browse&fm=organic&iid=ca7277fd-f4c5-4975-b30d-9e11fd593df6.MOBGZBFUF389GDMP.SEARCH&ppt=None&ppn=None&ssid=9rpq75h7cg0000001713047449307,vivo,Sea Green
"REDMI 12 5G (Jade Black, 128 GB)","₹11,999",https://www.flipkart.com/redmi-12-5g-jade-black-128-gb/p/itmb7b9567637d5c?pid=MOBGS9QU7QVWUWRD&lid=LSTMOBGS9QU7QVWUWRDWPHNEP&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_17&otracker=browse&fm=organic&iid=en_OaYstby-q_-DLSqGwu55cPVBF2mBo0LUgT1a9u7sVOrMrzs8tWX__vraMHkGwu-sB5-aRppkgDwG2QWURTateK8iqbiwhGf4dwbXVx7ZSks%3D&ppt=None&ppn=None&ssid=9rpq75h7cg0000001713047449307,REDMI,Jade Black
"SAMSUNG Galaxy F15 5G (Jazzy Green, 128 GB)","₹14,499",https://www.flipkart.com/samsung-galaxy-f15-5g-jazzy-green-128-gb/p/itm3202236886884?pid=MOBGYBAVKWJWSNNQ&lid=LSTMOBGYBAVKWJWSNNQQBJZHM&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_18&otracker=browse&fm=organic&iid=en_OaYstby-q_-DLSqGwu55cPVBF2mBo0LUgT1a9u7sVOqfgLOtd2rpk2xvr-SMU0prB1gctVj8zXD1ISPv_29gWvKSJvID5C-RdFfAlzwDiqI%3D&ppt=None&ppn=None&ssid=9rpq75h7cg0000001713047449307,SAMSUNG,Jazzy Green
"vivo T2x 5G (Glimmer Black, 128 GB)","₹11,999",https://www.flipkart.com/vivo-t2x-5g-glimmer-black-128-gb/p/itmcb8f0f6a85d5d?pid=MOBGZBFUZDW5JHYW&lid=LSTMOBGZBFUZDW5JHYWRCDY5W&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_19&otracker=browse&fm=organic&iid=ca7277fd-f4c5-4975-b30d-9e11fd593df6.MOBGZBFUZDW5JHYW.SEARCH&ppt=None&ppn=None&ssid=9rpq75h7cg0000001713047449307,vivo,Glimmer Black
"OnePlus Nord CE 3 Lite 5G (Pastel Lime, 256 GB)","₹19,419",https://www.flipkart.com/oneplus-nord-ce-3-lite-5g-pastel-lime-256-gb/p/itm2cd5a4e659035?pid=MOBGZJ3ZFQ8AKKRS&lid=LSTMOBGZJ3ZFQ8AKKRS488YYT&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_20&otracker=browse&fm=organic&iid=ca7277fd-f4c5-4975-b30d-9e11fd593df6.MOBGZJ3ZFQ8AKKRS.SEARCH&ppt=None&ppn=None&ssid=9rpq75h7cg0000001713047449307,OnePlus,Ice Blue
"SAMSUNG Galaxy A15 5G (Blue Black, 128 GB)","₹19,499",https://www.flipkart.com/samsung-galaxy-a15-5g-blue-black-128-gb/p/itmef383f04d3bf0?pid=MOBGWD85ZUA8BMDZ&lid=LSTMOBGWD85ZUA8BMDZUAXCNF&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_21&otracker=browse&fm=organic&iid=en_OaYstby-q_-DLSqGwu55cPVBF2mBo0LUgT1a9u7sVOr3ONa01aZoL1WEUmzsIM7Dn2yEpSKCztiofy5m_5be2csrgPW5YLzJU0_H6_RHKR0%3D&ppt=None&ppn=None&ssid=9rpq75h7cg0000001713047449307,SAMSUNG,Blue Black
"SAMSUNG Galaxy F54 5G (Stardust Silver, 256 GB)","₹22,999",https://www.flipkart.com/samsung-galaxy-f54-5g-stardust-silver-256-gb/p/itme2f1ad33150df?pid=MOBGPN55PEBUKZX2&lid=LSTMOBGPN55PEBUKZX25RULZW&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_22&otracker=browse&fm=organic&iid=en_OaYstby-q_-DLSqGwu55cPVBF2mBo0LUgT1a9u7sVOrP8nkeQipbBgpFoVWeY9uARxiN0zJiustx6AjJNKC62MDbPjpExlWhmpgUQnOg2ao%3D&ppt=None&ppn=None&ssid=9rpq75h7cg0000001713047449307,SAMSUNG,Stardust Silver
"vivo T2x 5G (Marine Blue, 128 GB)","₹12,999",https://www.flipkart.com/vivo-t2x-5g-marine-blue-128-gb/p/itmcb8f0f6a85d5d?pid=MOBGZBFU4HBKKFSN&lid=LSTMOBGZBFU4HBKKFSNXXMXTS&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_23&otracker=browse&fm=organic&iid=ca7277fd-f4c5-4975-b30d-9e11fd593df6.MOBGZBFU4HBKKFSN.SEARCH&ppt=None&ppn=None&ssid=9rpq75h7cg0000001713047449307,vivo,Glimmer Black
"vivo T2x 5G (Aurora Gold, 128 GB)","₹12,999",https://www.flipkart.com/vivo-t2x-5g-aurora-gold-128-gb/p/itmcb8f0f6a85d5d?pid=MOBGZBFUFNDXSGHS&lid=LSTMOBGZBFUFNDXSGHSMEZSSN&marketplace=FLIPKART&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&srno=b_1_24&otracker=browse&fm=organic&iid=ca7277fd-f4c5-4975-b30d-9e11fd593df6.MOBGZBFUFNDXSGHS.SEARCH&ppt=None&ppn=None&ssid=9rpq75h7cg0000001713047449307,vivo,Aurora Gold
"OnePlus Nord CE 3 Lite 5G (Pastel Lime, 256 GB)","₹19,419",https://www.flipkart.com/oneplus-nord-ce-3-lite-5g-pastel-lime-256-gb/p/itm2cd5a4e659035?pid=MOBGZJ3ZFQ8AKKRS&lid=LSTMOBGZJ3ZFQ8AKKRS488YYT&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_25&otracker=browse&fm=organic&iid=71b7ef13-995c-4aad-a778-ffcf7e64a797.MOBGZJ3ZFQ8AKKRS.SEARCH&ppt=None&ppn=None&ssid=s3xdrwhluo0000001713047450668,OnePlus,2a) 5G (Black
"Nokia 105 Single SIM, Keypad Mobile Phone with Wireless FM Radio","₹1,390",https://www.flipkart.com/nokia-105-single-sim-keypad-mobile-phone-wireless-fm-radio/p/itm1e2206f816463?pid=MOBGQFVG9WPRN3TH&lid=LSTMOBGQFVG9WPRN3THBQCPO0&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_26&otracker=browse&fm=organic&iid=71b7ef13-995c-4aad-a778-ffcf7e64a797.MOBGQFVG9WPRN3TH.SEARCH&ppt=None&ppn=None&ssid=s3xdrwhluo0000001713047450668,Nokia,Starfrost White
"OnePlus Nord CE 3 Lite 5G (Pastel Lime, 128 GB)","₹17,499",https://www.flipkart.com/oneplus-nord-ce-3-lite-5g-pastel-lime-128-gb/p/itm2cd5a4e659035?pid=MOBGZJ3WM5SGTGVZ&lid=LSTMOBGZJ3WM5SGTGVZIOJLVZ&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_27&otracker=browse&fm=organic&iid=71b7ef13-995c-4aad-a778-ffcf7e64a797.MOBGZJ3WM5SGTGVZ.SEARCH&ppt=None&ppn=None&ssid=s3xdrwhluo0000001713047450668,OnePlus,Power Black
"vivo T2x 5G (Glimmer Black, 128 GB)","₹14,999",https://www.flipkart.com/vivo-t2x-5g-glimmer-black-128-gb/p/itmcb8f0f6a85d5d?pid=MOBGZBFUZEMCKRGE&lid=LSTMOBGZBFUZEMCKRGEW3VLBC&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_28&otracker=browse&fm=organic&iid=71b7ef13-995c-4aad-a778-ffcf7e64a797.MOBGZBFUZEMCKRGE.SEARCH&ppt=None&ppn=None&ssid=s3xdrwhluo0000001713047450668,vivo,Ocean Green
"vivo T2x 5G (Black Gladiator, 128 GB)","₹14,999",https://www.flipkart.com/vivo-t2x-5g-black-gladiator-128-gb/p/itmcb8f0f6a85d5d?pid=MOBGXZG9GWN7SMQK&lid=LSTMOBGXZG9GWN7SMQKBTE6JO&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_29&otracker=browse&fm=organic&iid=71b7ef13-995c-4aad-a778-ffcf7e64a797.MOBGXZG9GWN7SMQK.SEARCH&ppt=None&ppn=None&ssid=s3xdrwhluo0000001713047450668,vivo,Charcoal Black
