Phone,Price,Mobile Link,Brand,Color,Storage,Image URL
"Xiaomi 14 Ultra (White, 512 GB)","₹99,999",https://www.flipkart.com/xiaomi-14-ultra-white-512-gb/p/itmedf0f28337915?pid=MOBGZZBHFXB2E5KK&lid=LSTMOBGZZBHFXB2E5KKNU2ABM&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_11&otracker=browse&fm=organic&iid=en_j8ytT7GEYaJBZIh2qJDHGo6YC21LGrzMTVjw9kkBrwjlMOVOise9zwwLtivplsXkdymi4zMmPRVXPz3WeZOynOvN4Mn-dv-pi277bRzMbnY%3D&ppt=None&ppn=None&ssid=0ak0tcuxq80000001713048449341,Xiaomi,White,512 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/m/i/o/14-ultra-mzb0gvnin-xiaomi-original-imagzt8cw9q2zgae.jpeg?q=70
"SAMSUNG Galaxy F15 5G (Groovy Violet, 128 GB)","₹12,999",https://www.flipkart.com/samsung-galaxy-f15-5g-groovy-violet-128-gb/p/itmd0aaf528709de?pid=MOBGYBAVSDFYZFNY&lid=LSTMOBGYBAVSDFYZFNY0YSXRQ&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_12&otracker=browse&fm=organic&iid=en_j8ytT7GEYaJBZIh2qJDHGo6YC21LGrzMTVjw9kkBrwgvhekB0WZoNCB2Wbag1WauxSJWgYi9VlCXxevwpu4KCmaRs4JL222ZRV-dN99QnxU%3D&ppt=None&ppn=None&ssid=0ak0tcuxq80000001713048449341,SAMSUNG,Groovy Violet,128 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/l/v/4/galaxy-f15-5g-sm-e156b-samsung-original-imagyhkbkdy56zej.jpeg?q=70
"REDMI 13C (Starshine Green, 128 GB)","₹7,699",https://www.flipkart.com/redmi-13c-starshine-green-128-gb/p/itmc4f0763fb3a50?pid=MOBGW4HKUXHFDYU2&lid=LSTMOBGW4HKUXHFDYU2WMFCCU&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_13&otracker=browse&fm=organic&iid=25a9e49b-0478-4eb4-b3b3-32a2ebcc5562.MOBGW4HKUXHFDYU2.SEARCH&ppt=None&ppn=None&ssid=0ak0tcuxq80000001713048449341,REDMI,Starshine Green,128 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/p/x/p/-original-imagxg47kjmy9qym.jpeg?q=70
"MOTOROLA G04 (Satin Blue, 64 GB)","₹6,999",https://www.flipkart.com/motorola-g04-satin-blue-64-gb/p/itmf126d16fff1b9?pid=MOBGUFK4X5AEBBDE&lid=LSTMOBGUFK4X5AEBBDEF89KFH&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_14&otracker=browse&fm=organic&iid=25a9e49b-0478-4eb4-b3b3-32a2ebcc5562.MOBGUFK4X5AEBBDE.SEARCH&ppt=None&ppn=None&ssid=0ak0tcuxq80000001713048449341,MOTOROLA,Satin Blue,64 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/k/6/l/g04-pb130012in-motorola-original-imagy3tfdhjgnzbd.jpeg?q=70
"MOTOROLA g24 Power (Glacier Blue, 128 GB)","₹7,999",https://www.flipkart.com/motorola-g24-power-glacier-blue-128-gb/p/itm766650509967e?pid=MOBGUFK4FEVX2D5T&lid=LSTMOBGUFK4FEVX2D5TYKGLO6&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_15&otracker=browse&fm=organic&iid=25a9e49b-0478-4eb4-b3b3-32a2ebcc5562.MOBGUFK4FEVX2D5T.SEARCH&ppt=None&ppn=None&ssid=0ak0tcuxq80000001713048449341,MOTOROLA,Glacier Blue,128 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/d/i/m/g24-pb1c0001in-motorola-original-imagxm3bhyh7ywnr.jpeg?q=70
"MOTOROLA G04 (Sea Green, 64 GB)","₹6,999",https://www.flipkart.com/motorola-g04-sea-green-64-gb/p/itma5e47013b85f7?pid=MOBGUFK4HDHHKJPP&lid=LSTMOBGUFK4HDHHKJPPCWIVJB&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_16&otracker=browse&fm=organic&iid=25a9e49b-0478-4eb4-b3b3-32a2ebcc5562.MOBGUFK4HDHHKJPP.SEARCH&ppt=None&ppn=None&ssid=0ak0tcuxq80000001713048449341,MOTOROLA,Sea Green,64 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/h/b/x/g04-pb130011in-motorola-original-imagy3tfvncuegaz.jpeg?q=70
"REDMI 12 5G (Jade Black, 128 GB)","₹11,999",https://www.flipkart.com/redmi-12-5g-jade-black-128-gb/p/itmb7b9567637d5c?pid=MOBGS9QU7QVWUWRD&lid=LSTMOBGS9QU7QVWUWRDWPHNEP&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_17&otracker=browse&fm=organic&iid=en_j8ytT7GEYaJBZIh2qJDHGo6YC21LGrzMTVjw9kkBrwhRAMXdlHaPZyiWg1Xw-3btB5-aRppkgDwG2QWURTateK8iqbiwhGf4dwbXVx7ZSks%3D&ppt=None&ppn=None&ssid=0ak0tcuxq80000001713048449341,REDMI,Jade Black,128 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/b/m/g/-original-imagxaqtqng2hpxn.jpeg?q=70
"SAMSUNG Galaxy F15 5G (Jazzy Green, 128 GB)","₹14,499",https://www.flipkart.com/samsung-galaxy-f15-5g-jazzy-green-128-gb/p/itm3202236886884?pid=MOBGYBAVKWJWSNNQ&lid=LSTMOBGYBAVKWJWSNNQQBJZHM&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_18&otracker=browse&fm=organic&iid=en_j8ytT7GEYaJBZIh2qJDHGo6YC21LGrzMTVjw9kkBrwg-S210XSEXsGDm3iz5cRn6B1gctVj8zXD1ISPv_29gWvKSJvID5C-RdFfAlzwDiqI%3D&ppt=None&ppn=None&ssid=0ak0tcuxq80000001713048449341,SAMSUNG,Jazzy Green,128 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/i/e/f/-original-imagymhw8g7tdyhk.jpeg?q=70
"Motorola G34 5G (Ice Blue, 128 GB)","₹10,999",https://www.flipkart.com/motorola-g34-5g-ice-blue-128-gb/p/itm0f6b45af1c0f0?pid=MOBGUFK4ZX2ZHMTQ&lid=LSTMOBGUFK4ZX2ZHMTQPDILZF&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_19&otracker=browse&fm=organic&iid=25a9e49b-0478-4eb4-b3b3-32a2ebcc5562.MOBGUFK4ZX2ZHMTQ.SEARCH&ppt=None&ppn=None&ssid=0ak0tcuxq80000001713048449341,Motorola,Glimmer Black,128 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/c/k/9/g34-5g-pb1v0001in-motorola-original-imagwu4r4xze9jwz.jpeg?q=70
"vivo T2x 5G (Glimmer Black, 128 GB)","₹12,999",https://www.flipkart.com/vivo-t2x-5g-glimmer-black-128-gb/p/itmcb8f0f6a85d5d?pid=MOBGZBFUF389GDMP&lid=LSTMOBGZBFUF389GDMPYKMTEO&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_20&otracker=browse&fm=organic&iid=25a9e49b-0478-4eb4-b3b3-32a2ebcc5562.MOBGZBFUF389GDMP.SEARCH&ppt=None&ppn=None&ssid=0ak0tcuxq80000001713048449341,vivo,Ice Blue,128 GB,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/4/h/e/-original-imagzjhwmsamexfk.jpeg?q=70
