Phone,Price,Mobile Link,Rating
"Motorola Edge 40 Neo (Black Beauty, 128 GB)","₹22,999",https://www.flipkart.com/motorola-edge-40-neo-black-beauty-128-gb/p/itm01cc46d96a79f?pid=MOBGQFX6JGTWFSGD&lid=LSTMOBGQFX6JGTWFSGDTXTCZS&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_25&otracker=browse&fm=organic&iid=94df875b-b07e-4fef-83f3-e232582d8435.MOBGQFX6JGTWFSGD.SEARCH&ppt=None&ppn=None&ssid=gior10d0sg0000001713053812056,4.3
"REDMI 13C (Starfrost White, 128 GB)","₹7,699",https://www.flipkart.com/redmi-13c-starfrost-white-128-gb/p/itm8e332b8346bef?pid=MOBGWUHSZKWBZQWJ&lid=LSTMOBGWUHSZKWBZQWJALOQ27&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_32&otracker=browse&fm=organic&iid=en_PuxHYLDZZiu1qPiSMxus0dxNU7CeDg848bAateiITz1OrCnl0UYZXZK8wpDP_OIshYmIX2_hZXSAR3yfGaCRxvUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=gior10d0sg0000001713053812056,4.3
"vivo T2x 5G (Glimmer Black, 128 GB)","₹14,999",https://www.flipkart.com/vivo-t2x-5g-glimmer-black-128-gb/p/itmcb8f0f6a85d5d?pid=MOBGZBFUZEMCKRGE&lid=LSTMOBGZBFUZEMCKRGEW3VLBC&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_33&otracker=browse&fm=organic&iid=94df875b-b07e-4fef-83f3-e232582d8435.MOBGZBFUZEMCKRGE.SEARCH&ppt=None&ppn=None&ssid=gior10d0sg0000001713053812056,4.3
"vivo T2x 5G (Black Gladiator, 128 GB)","₹14,999",https://www.flipkart.com/vivo-t2x-5g-black-gladiator-128-gb/p/itmcb8f0f6a85d5d?pid=MOBGXZG9GWN7SMQK&lid=LSTMOBGXZG9GWN7SMQKBTE6JO&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_34&otracker=browse&fm=organic&iid=94df875b-b07e-4fef-83f3-e232582d8435.MOBGXZG9GWN7SMQK.SEARCH&ppt=None&ppn=None&ssid=gior10d0sg0000001713053812056,4.3
"REDMI 12 5G (Jade Black, 128 GB)","₹11,999",https://www.flipkart.com/redmi-12-5g-jade-black-128-gb/p/itmb7b9567637d5c?pid=MOBGS9QU7QVWUWRD&lid=LSTMOBGS9QU7QVWUWRDWPHNEP&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_38&otracker=browse&fm=organic&iid=en_PuxHYLDZZiu1qPiSMxus0dxNU7CeDg848bAateiITz1_tibx1szKauw8MhIuy7w6S0LqvpaQHRH59pxy1UGiN_UFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=gior10d0sg0000001713053812056,4.3
"REDMI 13C (Stardust Black, 128 GB)","₹7,699",https://www.flipkart.com/redmi-13c-stardust-black-128-gb/p/itm9b22752239e4d?pid=MOBGW4HKVU4ZGZFZ&lid=LSTMOBGW4HKVU4ZGZFZCHB6WV&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_39&otracker=browse&fm=organic&iid=94df875b-b07e-4fef-83f3-e232582d8435.MOBGW4HKVU4ZGZFZ.SEARCH&ppt=None&ppn=None&ssid=gior10d0sg0000001713053812056,4.3
"Motorola Edge 40 Neo (Black Beauty, 256 GB)","₹24,999",https://www.flipkart.com/motorola-edge-40-neo-black-beauty-256-gb/p/itmd1cc863c7e37a?pid=MOBGQFX6FXEZ3GCE&lid=LSTMOBGQFX6FXEZ3GCEQGSJBA&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_44&otracker=browse&fm=organic&iid=94df875b-b07e-4fef-83f3-e232582d8435.MOBGQFX6FXEZ3GCE.SEARCH&ppt=None&ppn=None&ssid=gior10d0sg0000001713053812056,4.3
"SAMSUNG Galaxy F15 5G (Groovy Violet, 128 GB)","₹12,999",https://www.flipkart.com/samsung-galaxy-f15-5g-groovy-violet-128-gb/p/itmd0aaf528709de?pid=MOBGYBAVSDFYZFNY&lid=LSTMOBGYBAVSDFYZFNY0YSXRQ&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_2&otracker=browse&fm=organic&iid=en_z_DEq3qZ3Lm33BFoBch1G2x-Yuz8aXMWRsNWjznCJUUtIq4VOQBoJI8i3xo6LLJcYAI8Xkdz4SuszQeLtxJaBfUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=nugdl1yips0000001713053811157,4.2
"Motorola G34 5G (Ocean Green, 128 GB)","₹11,999",https://www.flipkart.com/motorola-g34-5g-ocean-green-128-gb/p/itm6b1a33b9d9191?pid=MOBGUFK4TZ2CJYHJ&lid=LSTMOBGUFK4TZ2CJYHJPBUF6M&marketplace=FLIPKART&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&srno=b_1_4&otracker=browse&fm=organic&iid=3c967dcf-2416-4bc8-a342-cf55dd943937.MOBGUFK4TZ2CJYHJ.SEARCH&ppt=None&ppn=None&ssid=nugdl1yips0000001713053811157,4.2
"Motorola G34 5G (Charcoal Black, 128 GB)","₹11,999",https://www.flipkart.com/motorola-g34-5g-charcoal-black-128-gb/p/itmcf3922f5c94b2?pid=MOBGUFK4QPQMAA2S&lid=LSTMOBGUFK4QPQMAA2SCAYBBS&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_5&otracker=browse&fm=organic&iid=3c967dcf-2416-4bc8-a342-cf55dd943937.MOBGUFK4QPQMAA2S.SEARCH&ppt=None&ppn=None&ssid=nugdl1yips0000001713053811157,4.2
