Phone,Price,Mobile Link,Brand,Color
"Nothing Phone (2a) 5G (Black, 128 GB)","₹23,999",https://www.flipkart.com/nothing-phone-2a-5g-black-128-gb/p/itm85c6bca5edadc?pid=MOBGVMQSZWSCFFWT&lid=LSTMOBGVMQSZWSCFFWTLEUOV6&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_1&otracker=browse&fm=organic&iid=en_-Zn36vogXv0HNP9MzelSLAG9ihzEXc_hwbb6Udr1iA6MtgCW9Mz4iwNbkhHe3F1KUhCgNtUJgrdrwsXsjTCLxPUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=m1kt14jz4g0000001713046085009,Nothing,Nothing Phone (2a) 5G (Black
"REDMI 13C (Starfrost White, 128 GB)","₹7,699",https://www.flipkart.com/redmi-13c-starfrost-white-128-gb/p/itm8e332b8346bef?pid=MOBGWUHSZKWBZQWJ&lid=LSTMOBGWUHSZKWBZQWJALOQ27&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_2&otracker=browse&fm=organic&iid=en_-Zn36vogXv0HNP9MzelSLAG9ihzEXc_hwbb6Udr1iA6nQhV6X2bZjDjLMg816zDcPYUGIjUOADVcPXDZVgj3UvUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=m1kt14jz4g0000001713046085009,REDMI,REDMI 13C (Starfrost White
"POCO C51 - Locked with Airtel Prepaid (Power Black, 64 GB)","₹4,999",https://www.flipkart.com/poco-c51-locked-airtel-prepaid-power-black-64-gb/p/itmf84c207e77bd0?pid=MOBGQTDPRFVZQYWB&lid=LSTMOBGQTDPRFVZQYWBKWRQKC&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_3&otracker=browse&fm=organic&iid=cc7ccb0a-d6b0-43b8-99f9-d482c424cd83.MOBGQTDPRFVZQYWB.SEARCH&ppt=None&ppn=None&ssid=m1kt14jz4g0000001713046085009,POCO,POCO C51 - Locked with Airtel Prepaid (Power Black
"Motorola G34 5G (Ocean Green, 128 GB)","₹11,999",https://www.flipkart.com/motorola-g34-5g-ocean-green-128-gb/p/itm6b1a33b9d9191?pid=MOBGUFK4TZ2CJYHJ&lid=LSTMOBGUFK4TZ2CJYHJPBUF6M&marketplace=FLIPKART&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&srno=b_1_4&otracker=browse&fm=organic&iid=cc7ccb0a-d6b0-43b8-99f9-d482c424cd83.MOBGUFK4TZ2CJYHJ.SEARCH&ppt=None&ppn=None&ssid=m1kt14jz4g0000001713046085009,Motorola,Motorola G34 5G (Ocean Green
"Motorola G34 5G (Charcoal Black, 128 GB)","₹11,999",https://www.flipkart.com/motorola-g34-5g-charcoal-black-128-gb/p/itmcf3922f5c94b2?pid=MOBGUFK4QPQMAA2S&lid=LSTMOBGUFK4QPQMAA2SCAYBBS&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_5&otracker=browse&fm=organic&iid=cc7ccb0a-d6b0-43b8-99f9-d482c424cd83.MOBGUFK4QPQMAA2S.SEARCH&ppt=None&ppn=None&ssid=m1kt14jz4g0000001713046085009,Motorola,Motorola G34 5G (Charcoal Black
"Motorola G34 5G (Ice Blue, 128 GB)","₹11,999",https://www.flipkart.com/motorola-g34-5g-ice-blue-128-gb/p/itmc36bacc1f7bb0?pid=MOBGUFK4P2H9CY7Y&lid=LSTMOBGUFK4P2H9CY7Y4FYWMH&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_6&otracker=browse&fm=organic&iid=cc7ccb0a-d6b0-43b8-99f9-d482c424cd83.MOBGUFK4P2H9CY7Y.SEARCH&ppt=None&ppn=None&ssid=m1kt14jz4g0000001713046085009,Motorola,Motorola G34 5G (Ice Blue
"MOTOROLA g24 Power (Ink blue, 128 GB)","₹7,999",https://www.flipkart.com/motorola-g24-power-ink-blue-128-gb/p/itmecab4a01b8aaf?pid=MOBGUFK4UBP7ZTXJ&lid=LSTMOBGUFK4UBP7ZTXJ6TV61J&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_7&otracker=browse&fm=organic&iid=cc7ccb0a-d6b0-43b8-99f9-d482c424cd83.MOBGUFK4UBP7ZTXJ.SEARCH&ppt=None&ppn=None&ssid=m1kt14jz4g0000001713046085009,MOTOROLA,MOTOROLA g24 Power (Ink blue
"SAMSUNG Galaxy F15 5G (Ash Black, 128 GB)","₹12,999",https://www.flipkart.com/samsung-galaxy-f15-5g-ash-black-128-gb/p/itm81af925bc1e26?pid=MOBGYBAVFGJGMQGY&lid=LSTMOBGYBAVFGJGMQGYZF1Q0M&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_8&otracker=browse&fm=organic&iid=en_-Zn36vogXv0HNP9MzelSLAG9ihzEXc_hwbb6Udr1iA466JXXhJFSAaAjXZwANAv9Qp-asJH5MfYQ-5BYgyKFk33Gaq_wzx4HJysDmGalzMk%3D&ppt=None&ppn=None&ssid=m1kt14jz4g0000001713046085009,SAMSUNG,SAMSUNG Galaxy F15 5G (Ash Black
"MOTOROLA g24 Power (Ink blue, 128 GB)","₹8,999",https://www.flipkart.com/motorola-g24-power-ink-blue-128-gb/p/itm38450b60d2af2?pid=MOBGUFK4RNVPCG3M&lid=LSTMOBGUFK4RNVPCG3MCW1WFP&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_9&otracker=browse&fm=organic&iid=cc7ccb0a-d6b0-43b8-99f9-d482c424cd83.MOBGUFK4RNVPCG3M.SEARCH&ppt=None&ppn=None&ssid=m1kt14jz4g0000001713046085009,MOTOROLA,MOTOROLA g24 Power (Ink blue
"POCO C51 - Locked with Airtel Prepaid (Royal Blue, 64 GB)","₹4,999",https://www.flipkart.com/poco-c51-locked-airtel-prepaid-royal-blue-64-gb/p/itm795e693024fbb?pid=MOBGQTDP5DGSNS7Q&lid=LSTMOBGQTDP5DGSNS7QW964PY&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_10&otracker=browse&fm=organic&iid=cc7ccb0a-d6b0-43b8-99f9-d482c424cd83.MOBGQTDP5DGSNS7Q.SEARCH&ppt=None&ppn=None&ssid=m1kt14jz4g0000001713046085009,POCO,POCO C51 - Locked with Airtel Prepaid (Royal Blue
