Phone,Price,Mobile Link,Rating,Reviews
"Apple iPhone 14 (Midnight, 128 GB)","₹58,999",https://www.flipkart.com/apple-iphone-14-midnight-128-gb/p/itm9e6293c322a84?pid=MOBGHWFHECFVMDCX&lid=LSTMOBGHWFHECFVMDCXXRTRJG&marketplace=FLIPKART&store=tyy%2F4io&srno=b_13_301&otracker=browse&fm=organic&iid=cfdf3470-51b9-4c65-881e-317a98690693.MOBGHWFHECFVMDCX.SEARCH&ppt=None&ppn=None&ssid=xt8qj61c280000001713284353364,4.6,No reviews available
"Apple iPhone 14 (Starlight, 128 GB)","₹58,999",https://www.flipkart.com/apple-iphone-14-starlight-128-gb/p/itm3485a56f6e676?pid=MOBGHWFHABH3G73H&lid=LSTMOBGHWFHABH3G73H644UNJ&marketplace=FLIPKART&store=tyy%2F4io&srno=b_14_328&otracker=browse&fm=organic&iid=8975d30f-2bd6-4fa3-a900-d1381ef0aec0.MOBGHWFHABH3G73H.SEARCH&ppt=None&ppn=None&ssid=jkhdpfvuxc0000001713284354376,4.6,No reviews available
"Apple iPhone 15 (Black, 256 GB)","₹75,999",https://www.flipkart.com/apple-iphone-15-black-256-gb/p/itm6f0727e3e3b52?pid=MOBGTAGPSMHFKHT5&lid=LSTMOBGTAGPSMHFKHT5QSQH4U&marketplace=FLIPKART&store=tyy%2F4io&srno=b_15_359&otracker=browse&fm=organic&iid=fc0b2858-cd80-46c9-aff0-cd6d267b0370.MOBGTAGPSMHFKHT5.SEARCH&ppt=None&ppn=None&ssid=6byp3f6pts0000001713284355476,4.6,No reviews available
"Apple iPhone 13 (Green, 128 GB)","₹52,999",https://www.flipkart.com/apple-iphone-13-green-128-gb/p/itm18a55937b2607?pid=MOBGC9VGSU9DWGJZ&lid=LSTMOBGC9VGSU9DWGJZUXUVYB&marketplace=FLIPKART&store=tyy%2F4io&srno=b_16_371&otracker=browse&fm=organic&iid=879d609d-deea-47b8-a6bc-f23859144924.MOBGC9VGSU9DWGJZ.SEARCH&ppt=None&ppn=None&ssid=hapdxje9bk0000001713284356514,4.6,No reviews available
"Apple iPhone 13 (Midnight, 128 GB)","₹52,999",https://www.flipkart.com/apple-iphone-13-midnight-128-gb/p/itmca361aab1c5b0?pid=MOBG6VF5Q82T3XRS&lid=LSTMOBG6VF5Q82T3XRSOXJLM9&marketplace=FLIPKART&store=tyy%2F4io&srno=b_16_377&otracker=browse&fm=organic&iid=879d609d-deea-47b8-a6bc-f23859144924.MOBG6VF5Q82T3XRS.SEARCH&ppt=None&ppn=None&ssid=hapdxje9bk0000001713284356514,4.6,No reviews available
"Apple iPhone 13 (Starlight, 128 GB)","₹52,999",https://www.flipkart.com/apple-iphone-13-starlight-128-gb/p/itmc9604f122ae7f?pid=MOBG6VF5ADKHKXFX&lid=LSTMOBG6VF5ADKHKXFXBT5ONJ&marketplace=FLIPKART&store=tyy%2F4io&srno=b_17_386&otracker=browse&fm=organic&iid=0e6f30d2-d33c-4ce2-b37b-ab2e20d8469f.MOBG6VF5ADKHKXFX.SEARCH&ppt=None&ppn=None&ssid=x3qy3q852o0000001713284357946,4.6,No reviews available
"Apple iPhone 14 (Blue, 128 GB)","₹58,999",https://www.flipkart.com/apple-iphone-14-blue-128-gb/p/itmdb77f40da6b6d?pid=MOBGHWFHSV7GUFWA&lid=LSTMOBGHWFHSV7GUFWAFEQJQ4&marketplace=FLIPKART&store=tyy%2F4io&srno=b_18_430&otracker=browse&fm=organic&iid=71801fdc-7a84-4206-a37f-c2ca12976812.MOBGHWFHSV7GUFWA.SEARCH&ppt=None&ppn=None&ssid=2qe0yvw0m80000001713284358883,4.6,No reviews available
"Apple iPhone 15 Plus (Pink, 128 GB)","₹75,999",https://www.flipkart.com/apple-iphone-15-plus-pink-128-gb/p/itmecb6209a78172?pid=MOBGTAGPXUWEXXWY&lid=LSTMOBGTAGPXUWEXXWYKVXCUT&marketplace=FLIPKART&store=tyy%2F4io&srno=b_19_435&otracker=browse&fm=organic&iid=5da9361c-19af-4bbd-a222-d9ab5743a57f.MOBGTAGPXUWEXXWY.SEARCH&ppt=None&ppn=None&ssid=e1pi3go67k0000001713284360092,4.6,No reviews available
"Apple iPhone 14 (Purple, 128 GB)","₹58,999",https://www.flipkart.com/apple-iphone-14-purple-128-gb/p/itm0b581eba85e08?pid=MOBGHWFHQFSQYBFU&lid=LSTMOBGHWFHQFSQYBFUUF0OWI&marketplace=FLIPKART&store=tyy%2F4io&srno=b_20_461&otracker=browse&fm=organic&iid=c163bca0-683a-49f9-8853-9f18a147fe3a.MOBGHWFHQFSQYBFU.SEARCH&ppt=None&ppn=None&ssid=sabud1e6wg0000001713284361047,4.6,No reviews available
"OnePlus 12R (Iron Gray, 128 GB)","₹38,702",https://www.flipkart.com/oneplus-12r-iron-gray-128-gb/p/itm347349f7db2f2?pid=MOBGXGT7YP8GPTGU&lid=LSTMOBGXGT7YP8GPTGUAZI7JB&marketplace=FLIPKART&store=tyy%2F4io&srno=b_20_462&otracker=browse&fm=organic&iid=c163bca0-683a-49f9-8853-9f18a147fe3a.MOBGXGT7YP8GPTGU.SEARCH&ppt=None&ppn=None&ssid=sabud1e6wg0000001713284361047,4.6,No reviews available
